(557, 529)
(558, 529)
(557, 529)
(557, 529)
(557, 529)
(557, 529)
(557, 529)
(557, 529)
(557, 529)
(557, 528)
(557, 529)
(557, 529)
(557, 529)
(557, 529)
(557, 528)
(557, 528)
(557, 529)
(557, 529)
(557, 528)
(557, 529)
(557, 529)
(558, 529)
(557, 529)
(557, 529)
(558, 529)
(557, 529)
(558, 529)
(557, 529)
(557, 529)
(557, 528)
(557, 528)
(558, 529)
(558, 529)
(550, 529)
(62, 529)
(63, 529)
(63, 529)
(62, 529)
(68, 531)
(65, 530)
(65, 530)
(70, 532)
(81, 538)
(75, 570)
(74, 709)
(71, 871)
(73, 968)
(78, 1017)
(86, 1017)
(71, 1016)
(61, 1016)
(72, 1017)
(74, 1018)
(74, 1017)
(58, 1016)
(58, 1015)
(109, 1015)
(338, 1015)
(546, 1015)
(556, 1016)
(557, 1014)
(551, 1015)
(553, 1016)
(553, 1015)
(554, 1016)
(697, 1015)
(971, 1015)
(1016, 1016)
(1016, 1016)
(1016, 1017)
(1017, 1017)
(1016, 1016)
(1017, 1014)
(1018, 953)
(1019, 777)
(1017, 526)
(1018, 532)
(1018, 532)
(1018, 532)
(1019, 532)
(1018, 531)
(1019, 525)
(1019, 524)
(1018, 531)
(1018, 532)
(1018, 531)
(1017, 533)
(1017, 534)
(1017, 537)
(1018, 620)
(1017, 645)
(1018, 782)
(1019, 907)
(1018, 932)
(1017, 949)
(1017, 952)
(1017, 951)
(1016, 951)
(1017, 952)
(1017, 936)
(1018, 931)
(1017, 870)
(1017, 779)
(1017, 766)
(1017, 701)
(1017, 621)
(1017, 540)
(1016, 525)
(1018, 525)
(1018, 524)
(1017, 525)
(1017, 526)
(997, 527)
(828, 526)
(750, 527)
(751, 528)
(654, 528)
(559, 530)
(557, 528)
(556, 527)
(556, 503)
(556, 385)
(557, 284)
(558, 225)
(557, 142)
(558, 68)
(558, 66)
(557, 66)
(557, 65)
(557, 65)
(557, 65)
(562, 74)
(561, 75)
(562, 75)
(561, 73)
(560, 72)
(560, 71)
(559, 69)
(527, 68)
(395, 68)
(295, 66)
(210, 67)
(72, 65)
(66, 67)
(68, 68)
(68, 68)
(69, 69)
(71, 70)
(68, 69)
(69, 79)
(73, 152)
(80, 248)
(78, 373)
(71, 453)
(71, 533)
(73, 533)
(72, 533)
(71, 532)
(71, 532)
(71, 533)
(76, 534)
(65, 530)
(65, 529)
(71, 532)
(81, 537)
(76, 556)
(82, 617)
(87, 733)
(83, 888)
(72, 906)
(69, 987)
(69, 1017)
(69, 1017)
(72, 1017)
(78, 1016)
(69, 1016)
(67, 1016)
(67, 1016)
(69, 1016)
(77, 1016)
(73, 1018)
(66, 1017)
(74, 1016)
(68, 1017)
(77, 1017)
(75, 1016)
(70, 1016)
(77, 1016)
(73, 878)
(73, 719)
(74, 600)
(72, 532)
(72, 533)
(71, 532)
(72, 532)
(71, 532)
(72, 532)
(69, 531)
(69, 532)
(71, 532)
(69, 531)
(70, 531)
(72, 532)
(68, 530)
(69, 531)
(69, 532)
(74, 534)
(73, 388)
(81, 321)
(73, 258)
(69, 231)
(66, 213)
(63, 192)
(62, 172)
(64, 144)
(66, 108)
(68, 76)
(66, 67)
(69, 70)
(70, 71)
(66, 66)
(62, 62)
(63, 62)
(62, 64)
